Well Serial Num,Operator Name,Operator ID,Field ID,Field Name,Well Name,Well Num,Well Status Code,Well Status Code Description,Classification,Well Class Type Code,Well Class Type Code Description,API Num,Effective Date,Permit Date,Spud Date,Well Status Date,Section,Township,Range,Meridian,Parish Code,Parish Name,District Code,District Name,Ground Elevation,Latitude,Longitude,Product Type Code,Product Type Code Description,USDW Value,Area USDW Value,Source Area USDW Value,Measured Depth,Area Code,State Lease Num,Original Proposed Sand,Original Proposed Measured Depth,Original Proposed True Vertical Depth,Expiration Date
975519,"442 OPERATING LA, LLC",F164,0183,BACK RIDGE,ER & CF HENRY EST ET AL 27 SWD,002,09,ACTIVE- INJECTION,II,5,PRODUCED SALT WATER,17023881930000,13-SEP-2023,17-DEC-2018,21-JAN-2019,26-FEB-2019,022,14S,R9W,W,12,CAMERON,2,LAFAYETTE,0,29.8207187598457,-93.2804313086258,00,NO PRODUCT SPECIFIED,1043,,USDW VALUE PER MELISSAA 2/20/2019,5000,(1) - ONSHORE,,,,,
252213,A. M. A. CHILES,0024,2152,CADDO PINE ISLAND,C EDWARDS ETAL,035,03,PERMIT EXPIRED,,,,17017363310000,03-AUG-2020,04-FEB-2020,,03-AUG-2020,025,22N,16W,W,09,CADDO,6,SHREVEPORT,256.89,32.8639959763733,-93.9719381180891,00,NO PRODUCT SPECIFIED,,0,,1100,(1) - ONSHORE,,NACATOCH,1100,,01-AUG-2020
253845,"ACHILLES OIL, LLC",A203,1704,BOGGY BAYOU,VUA;BEARD,001,29,DRY AND PLUGGED,,,,17029233130000,22-NOV-2022,01-NOV-2022,16-NOV-2022,22-NOV-2022,025,07N,07E,W,15,CONCORDIA,5,MONROE,54.6,31.5548978554097,-91.7178833128796,00,NO PRODUCT SPECIFIED,,0,,5600,(1) - ONSHORE,,WILCOX,5600,,29-APR-2023
250968,"ACHILLES OIL, LLC",A203,3996,FUNNY LOUIS BAYOU,PEAVY ETAL,001,29,DRY AND PLUGGED,,,,17059266870000,23-AUG-2018,01-MAY-2018,20-AUG-2018,23-AUG-2018,019,09N,03E,W,30,LASALLE,5,MONROE,140.4,31.7473922294571,-92.2019095368984,00,NO PRODUCT SPECIFIED,,0,,4100,(1) - ONSHORE,,WILCOX,6500,,27-OCT-2018
252074,"ACTIVA RESOURCES, LLC",A208,9971,ZWOLLE,J O KIMBRELL 2,001,03,PERMIT EXPIRED,,,,17085225530000,30-APR-2020,01-NOV-2019,,30-APR-2020,002,07N,12W,W,43,SABINE,6,SHREVEPORT,323.19,31.6209268769814,-93.5650823825088,00,NO PRODUCT SPECIFIED,,0,,5678,(1) - ONSHORE,,SARATOGA CHALK,5678,2280,28-APR-2020
975690,ADAMAS ENERGY LLC,A1203,9803,WOODARDVILLE,COLLINS 26 SWD,001,09,ACTIVE- INJECTION,II,5,PRODUCED SALT WATER,17013880780000,01-MAR-2026,03-MAR-2020,20-MAY-2020,17-AUG-2020,026,15N,09W,W,07,BIENVILLE,6,SHREVEPORT,223.47,32.2542800974973,-93.2624555036326,00,NO PRODUCT SPECIFIED,,705,AREA VALUE FROM ELOG OF SN 75077 PER MELISSAA 12/3/2019,5628,(1) - ONSHORE,,,,,
255569,ADAMAS ENERGY LLC,A1203,3608,ELM GROVE,HA RA SU110;COWLEY 2HU,002-ALT,01,PERMITTED,,,,17015253960000,01-MAR-2026,24-FEB-2026,,24-FEB-2026,035,17N,13W,W,08,BOSSIER,6,SHREVEPORT,157.5,32.4112222904499,-93.6718340716448,00,NO PRODUCT SPECIFIED,,0,,25000,(1) - ONSHORE,,HA,25000,12600,23-FEB-2027
255570,ADAMAS ENERGY LLC,A1203,3608,ELM GROVE,HA RA SU110;COWLEY 2HU,003-ALT,01,PERMITTED,,,,17015253950000,01-MAR-2026,24-FEB-2026,,24-FEB-2026,035,17N,13W,W,08,BOSSIER,6,SHREVEPORT,157.5,32.4112215473757,-93.6719150758698,00,NO PRODUCT SPECIFIED,,0,,25000,(1) - ONSHORE,,HA,25000,12600,23-FEB-2027
255738,ADAMAS ENERGY LLC,A1203,3608,ELM GROVE,HA RA SU110;COWLEY 2-11 HC,001,01,PERMITTED,,,,17015254260000,30-JUN-2026,30-JUN-2026,,30-JUN-2026,035,17N,13W,W,08,BOSSIER,6,SHREVEPORT,157.5,32.4112208042502,-93.6719960800934,00,NO PRODUCT SPECIFIED,,0,,17600,(1) - ONSHORE,,HAYNESVILLE,17600,12400,26-DEC-2026
255739,ADAMAS ENERGY LLC,A1203,3608,ELM GROVE,HA RA SU110;COWLEY 2-11 HC,002-ALT,01,PERMITTED,,,,17015254270000,30-JUN-2026,30-JUN-2026,,30-JUN-2026,035,17N,13W,W,08,BOSSIER,6,SHREVEPORT,157.5,32.4112215473757,-93.6719150758698,00,NO PRODUCT SPECIFIED,,0,,17600,(1) - ONSHORE,,HAYNESVILLE,17600,12400,26-DEC-2026
255745,ADAMAS ENERGY LLC,A1203,3608,ELM GROVE,HA RA SU110;COWLEY 2-11 HC,003-ALT,01,PERMITTED,,,,17015254280000,30-JUN-2026,30-JUN-2026,,30-JUN-2026,035,17N,13W,W,08,BOSSIER,6,SHREVEPORT,157.5,32.4112222904499,-93.6718340716448,00,NO PRODUCT SPECIFIED,,0,,17600,(1) - ONSHORE,,HAYNESVILLE,17600,12400,26-DEC-2026
255777,ADAMAS ENERGY LLC,A1203,3608,ELM GROVE,HA RA SU67;FRANKS 11-2 HC,001-ALT,01,PERMITTED,,,,17017370620000,19-AUG-2026,20-JUL-2026,,20-JUL-2026,003,16N,13W,W,09,CADDO,6,SHREVEPORT,163,32.4112208042502,-93.6719960800934,00,NO PRODUCT SPECIFIED,,0,,21014,(1) - ONSHORE,,HAYNESVILLE,21014,10846,19-JUL-2027
